Tipo,Categoria,Subcategoria,Valor,Data
+,Rendimento,Salário,2500.00,01/01/2025
-,Alimentação,Supermercado,85.50,05/01/2025
-,Lazer,Cinema,12.00,15/01/2025
+,Rendimento,Bónus,200.00,01/02/2025
-,Saúde,Farmácia,45.00,10/02/2025
-,Alimentação,Restaurante,30.00,14/02/2025
-,Transporte,Combustível,60.00,20/02/2025
+,Rendimento,Salário,2500.00,01/03/2025
-,Alimentação,Supermercado,120.00,05/03/2025
-,Educação,Livros,55.00,12/03/2025
-,Lazer,Concerto,40.00,25/03/2025
+,Rendimento,Salário,2500.00,01/04/2025
-,Saúde,Dentista,80.00,10/04/2025
-,Alimentação,Supermercado,95.00,15/04/2025
-,Transporte,Revisão Carro,150.00,22/04/2025
+,Rendimento,Venda Usados,50.00,05/05/2025
-,Alimentação,Jantar Amigos,25.00,12/05/2025
-,Casa,Eletricidade,70.00,20/05/2025
+,Rendimento,Salário,2500.00,01/06/2025
-,Lazer,Viagem Fim de Semana,200.00,10/06/2025
